,Borough,Neighborhood,ID,Name
0,Manhattan,Marble Hill,4cf6ae55d3a8a1cd71a9d243,Astral Fitness & Wellness Center
1,Bronx,Fordham,52af0e3c11d2fb9a346ce0f7,Blink Fitness
2,Bronx,Fordham,4d94c27b0d7ed7cea8ddfb46,Lucille Roberts
3,Bronx,Fordham,4d23bdbefdfb236a054d7367,Urban Total Fitness
4,Bronx,High  Bridge,5769027ccd106670100ea1af,Retro Fitness
5,Bronx,Melrose,542c31e1498e76106c273492,Blink Fitness
6,Bronx,Mott Haven,520abdfe11d220f368124064,The Bronx Box
7,Bronx,Westchester Square,4c98a1174804a143bee6ec0e,Star Fitness
8,Brooklyn,Sunset Park,5a5cd57d628c83318748eeef,Blink Fitness
9,Brooklyn,Sunset Park,4ae4935df964a520d99b21e3,Richie's Gym
10,Brooklyn,Greenpoint,49bbf847f964a520ff531fe3,Greenpoint YMCA
11,Brooklyn,Gravesend,4ceda9144cd4236aab6ea963,Fitness by kobi
12,Brooklyn,Williamsburg,579baeff498e21290f2705c9,Blink Fitness
13,Brooklyn,Brooklyn Heights,5654b5be498e89858b0c08bd,Orangetheory Fitness
14,Brooklyn,Brooklyn Heights,4ab5817ef964a5200c7520e3,Eastern Athletic Club
15,Brooklyn,East New York,4dda4322ae60680f1549589e,75th Precinct Gym
16,Brooklyn,Marine Park,4c86cffbf554236a5a00c855,Crossfit Marine Park
17,Brooklyn,Downtown,53cfa344498e2ee88a9b4b4c,Manhattan Athletic Club
